Gene,Label
GENE_10303,1
GENE_9491,1
GENE_15048,1
GENE_10304,1
GENE_15049,1
GENE_17688,1
GENE_10302,1
GENE_17665,1
GENE_17662,1
GENE_17654,1
GENE_5495,1
GENE_17664,1
GENE_17549,1
GENE_14342,1
GENE_14917,1
GENE_17477,1
GENE_17626,1
GENE_17637,1
GENE_1699,1
GENE_17709,1
GENE_17693,1
GENE_11491,1
GENE_15083,1
GENE_7012,1
GENE_5497,1
GENE_5498,1
GENE_15805,1
GENE_17648,1
GENE_3140,1
GENE_14849,1
GENE_270,1
GENE_6962,1
GENE_17386,1
GENE_17310,1
GENE_17672,1
GENE_4872,1
GENE_5496,1
GENE_7583,1
GENE_17440,1
GENE_6048,1
GENE_17652,1
GENE_15059,1
GENE_17841,1
GENE_14964,1
GENE_12437,1
GENE_9089,1
GENE_17674,1
GENE_17632,1
GENE_3654,1
GENE_17437,1
GENE_12617,1
GENE_16300,1
GENE_14376,1
GENE_2025,1
GENE_4066,1
GENE_17669,1
GENE_1783,1
GENE_15413,1
GENE_9643,1
GENE_4344,1
GENE_2134,1
GENE_9860,1
GENE_3081,1
GENE_7956,1
GENE_5493,1
GENE_2492,1
GENE_5376,1
GENE_6374,1
GENE_15036,1
GENE_576,1
GENE_5357,1
GENE_5847,1
GENE_14979,1
GENE_17574,1
GENE_15757,1
GENE_9004,1
GENE_7939,1
GENE_2748,1
GENE_14245,1
GENE_9145,1
GENE_2733,1
GENE_13886,1
GENE_8073,1
GENE_5768,1
GENE_7427,1
GENE_6430,1
GENE_977,1
GENE_5680,1
GENE_11216,1
GENE_10106,1
GENE_3513,1
GENE_17609,1
GENE_8659,1
GENE_17363,1
GENE_7709,1
GENE_17719,1
GENE_734,1
GENE_14670,1
GENE_6246,1
GENE_8661,1
GENE_4415,1
GENE_11620,1
GENE_17598,1
GENE_17698,1
GENE_8193,1
GENE_17622,1
GENE_17553,1
GENE_7000,1
GENE_17595,1
GENE_10214,1
GENE_2213,1
GENE_4833,1
GENE_5255,1
GENE_16302,1
GENE_8383,1
GENE_235,1
GENE_12303,1
GENE_17454,1
GENE_7814,1
GENE_8501,1
GENE_12645,1
GENE_6386,1
GENE_2838,1
GENE_9158,1
GENE_4763,1
GENE_5893,1
GENE_3044,1
GENE_15573,1
GENE_14569,1
GENE_1264,1
GENE_14909,1
GENE_8714,1
GENE_7658,1
GENE_4865,1
GENE_1197,1
GENE_1787,1
GENE_2110,1
GENE_17712,1
GENE_6669,1
GENE_6892,1
GENE_8924,1
GENE_17619,1
GENE_875,1
GENE_17567,1
GENE_2810,1
GENE_8552,1
GENE_12819,1
GENE_1616,1
GENE_17528,1
GENE_8533,1
GENE_12190,1
GENE_1817,1
GENE_5826,1
GENE_9509,1
GENE_9189,1
GENE_3929,1
GENE_13388,1
GENE_4807,1
GENE_1385,1
GENE_770,1
GENE_11387,1
GENE_5936,1
GENE_7611,1
GENE_883,1
GENE_1657,1
GENE_17700,1
GENE_5333,1
GENE_5564,1
GENE_13515,1
GENE_5627,1
GENE_17713,1
GENE_9144,1
GENE_10682,1
GENE_7539,1
GENE_17289,1
GENE_1003,1
